id;date;test_type;armonik_version;control_plane_version;polling_agent_version;worker_version;metrics_exporter_version;api_version;client_version;control_plane_cpu_request;control_plane_cpu_limit;control_plane_memory_request;control_plane_memory_limit;polling_agent_cpu_request;polling_agent_cpu_limit;polling_agent_memory_request;polling_agent_memory_limit;worker_cpu_request;worker_cpu_limit;worker_memory_request;worker_memory_limit;kubernetes_type;kuberntetes_version;object_storage_type;object_storage_version;storage_queue_type;storage_queue_version;storage_table_type;storage_table_version;shared_storage_type;shared_storage_version;os;cloud_region;instance_type;processor;cpu_frequency;nb_vcpus;ram_gb;network_bandwidth_gbps;ebs_bandwidth_mbps;number_tasks;tasks_workload_duration_s;input_payload_size_b;output_payload_size_b;duration_submission_s;upload_speed;throughpu_submission_ts;processing_duration_s;processing_throughput_ts;retrieving_duration_s;retrieving_throughput;download_speed;total_time_s
0;05/01/2023;stresstest;2.12.3;0.12.4;0.12.4;0.9.5;0.12.4;3.6.0;2.12.3;200m;1000m;500Mi;2048Mi;1000m;2000m;256Mi;2048Mi;500m;1000m;512Mi;2048Mi;eks;1.25;elasticache;6.x;amazon_mq_activemq;5.16.4;mongodb;6.0.1;s3;;linux;aws_eu_west_3;c24.xlarge;Intel Xeon de 2e (Cascade Lake);3.6 GHz - 3.9 GHz;96;192;25;19000;1000;0.001;8;8;1;7.79;997.74;3.63;274.80;22.67;44.1;0.34;23.41
0;05/01/2023;stresstest;2.12.3;0.12.4;0.12.4;0.9.5;0.12.4;3.6.0;2.12.3;200m;1000m;500Mi;2048Mi;1000m;2000m;256Mi;2048Mi;500m;1000m;512Mi;2048Mi;eks;1.25;elasticache;6.x;amazon_mq_activemq;5.16.4;mongodb;6.0.1;s3;;linux;aws_eu_west_3;c24.xlarge;Intel Xeon de 2e (Cascade Lake);3.6 GHz - 3.9 GHz;96;192;25;19000;;;;;;;;;;;;;
